CBSA,Days with AQI,Good Days,City,score
"Hermiston-Pendleton, OR",91,74,Hermiston-Pendleton,6
"Parkersburg-Vienna, WV",48,40,Parkersburg-Vienna,6
"Riverton, WY",159,130,Riverton,6
"Beaver Dam, WI",92,74,Beaver Dam,6
"Virginia Beach-Norfolk-Newport News, VA-NC",213,162,Virginia Beach-Norfolk-Newport News,5
"Medford, OR",91,72,Medford,5
"St. Cloud, MN",90,70,St. Cloud,5
"Sioux City, IA-NE-SD",172,135,Sioux City,5
"Yakima, WA",121,91,Yakima,5
"Sevierville, TN",149,118,Sevierville,5
"Yuba City, CA",31,24,Yuba City,5
"Muscatine, IA",213,163,Muscatine,5
"Portland-South Portland, ME",213,161,Portland-South Portland,5
"Vermillion, SD",91,71,Vermillion,5
"Winchester, VA-WV",213,170,Winchester,5
"Logan, UT-ID",182,142,Logan,5
"Reading, PA",152,118,Reading,5
"Reno, NV",92,73,Reno,5
"New Haven-Milford, CT",92,70,New Haven-Milford,5
"Rutland, VT",92,73,Rutland,5
"New Castle, IN",152,115,New Castle,5
"Roanoke, VA",213,165,Roanoke,5
"Price, UT",182,144,Price,5
"Lansing-East Lansing, MI",91,70,Lansing-East Lansing,5
"Harrisonburg, VA",213,163,Harrisonburg,5
"Bay City, MI",90,69,Bay City,5
"Keene, NH",91,72,Keene,5
"Kingsport-Bristol-Bristol, TN-VA",116,92,Kingsport-Bristol-Bristol,5
"Dalton, GA",90,71,Dalton,5
"Juneau, AK",84,63,Juneau,5
"Dover, DE",61,48,Dover,5
"Clarksville, TN-KY",91,71,Clarksville,5
"Chico, CA",57,43,Chico,5
"Charlottesville, VA",211,163,Charlottesville,5
"Eau Claire, WI",91,70,Eau Claire,5
"Cedar City, UT",212,164,Cedar City,5
"Boston-Cambridge-Newton, MA-NH",183,146,Boston-Cambridge-Newton,5
"Fort Payne, AL",152,120,Fort Payne,5
"Beatrice, NE",158,126,Beatrice,5
"Flint, MI",91,71,Flint,5
"Corsicana, TX",91,71,Corsicana,5
"Hagerstown-Martinsburg, MD-WV",182,144,Hagerstown-Martinsburg,5
"Appleton, WI",91,70,Appleton,5
"Lincoln, NE",41,31,Lincoln,5
"Grants Pass, OR",91,71,Grants Pass,5
"Greensboro-High Point, NC",121,94,Greensboro-High Point,5
"Amarillo, TX",152,117,Amarillo,5
"Lawrenceburg, TN",90,71,Lawrenceburg,5
"Grand Island, NE",183,145,Grand Island,5
"Green Bay, WI",91,70,Green Bay,5
"Lawton, OK",148,115,Lawton,5
"Hickory-Lenoir-Morganton, NC",121,85,Hickory-Lenoir-Morganton,4
"Portsmouth, OH",182,131,Portsmouth,4
"Decatur, AL",121,85,Decatur,4
"Nogales, AZ",178,129,Nogales,4
"Rapid City, SD",91,68,Rapid City,4
"Jasper, IN",152,108,Jasper,4
"Iowa City, IA",211,158,Iowa City,4
"Huntsville, AL",90,67,Huntsville,4
